STOP_ID, LONGITUDE, LATITUDE, STOP_NAME, OBJECTID
"22249",145.120534,-37.924683,"Clayton Railway Station (Clayton)",92
"20353",145.715923,-36.638816,"Violet Town Railway Station (Violet Town)",73
"22248",145.042525,-37.877459,"Caulfield Railway Station (Caulfield East)",91
"20312",145.568089,-36.749131,"Euroa Railway Station (Euroa)",34
"22247",144.990164,-37.824074,"Richmond Railway Station (Richmond)",90
"22238",144.966964,-37.818305,"Flinders Street Railway Station (Melbourne City)",85
"20043",144.952525,-37.818334,"Southern Cross Railway Station (Melbourne City)",8
"22239",144.94151,-37.80631,"North Melbourne Railway Station (West Melbourne)",86
"22240",144.90202,-37.801413,"Footscray Railway Station (Footscray)",87
"22253",144.916198,-37.756012,"Essendon Railway Station (Essendon)",96
"22254",144.919613,-37.683049,"Broadmeadows Railway Station (Broadmeadows)",97
"20029",144.943306,-37.601925,"Craigieburn Railway Station (Craigieburn)",7
"20307",144.969555,-37.542575,"Donnybrook Railway Station (Donnybrook)",29
"22241",144.832878,-37.788536,"Sunshine Railway Station (Sunshine)",88
"17204",145.005372,-37.416861,"Wallan Railway Station (Wallan)",1
"20316",145.028205,-37.371713,"Heathcote Junction Railway Station (Heathcote Junction)",38
"20020",144.802188,-37.783065,"Ardeer Railway Station (Ardeer)",6
"20355",145.026415,-37.354677,"Wandong Railway Station (Wandong)",74
"19982",144.772304,-37.777764,"Deer Park Railway Station (Deer Park)",4
"20289",145.229515,-36.893648,"Avenel Railway Station (Avenel)",11
"20298",145.043008,-37.2072,"Broadford Railway Station (Broadford)",20
"20348",145.102997,-37.092335,"Tallarook Railway Station (Tallarook)",68
