Geo Point,Geo Shape,he_loop,lift,pids,station
"-37.88484799999998, 145.00097300000004","{""coordinates"": [145.00097300000004, -37.88484799999998], ""type"": ""Point""}",No,No,Dot Matrix,Elsternwick
"-37.713438, 145.14772600000003","{""coordinates"": [145.14772600000003, -37.713438], ""type"": ""Point""}",No,No,Dot Matrix,Eltham
"-37.77918599999998, 145.016801","{""coordinates"": [145.016801, -37.77918599999998], ""type"": ""Point""}",No,No,Dot Matrix,Fairfield
"-37.811826999999994, 144.95644700000003","{""coordinates"": [144.95644700000003, -37.811826999999994], ""type"": ""Point""}",Yes,Yes,LCD,Flagstaff
"-37.78813699999995, 144.93932200000006","{""coordinates"": [144.93932200000006, -37.78813699999995], ""type"": ""Point""}",No,No,No,Flemington Bridge
"-37.853275999999994, 145.05162400000006","{""coordinates"": [145.05162400000006, -37.853275999999994], ""type"": ""Point""}",Yes,Yes,LCD,Gardiner
"-37.859307, 145.058223","{""coordinates"": [145.058223, -37.859307], ""type"": ""Point""}",No,No,Dot Matrix,Glen Iris
"-37.87978499999997, 145.1630590000001","{""coordinates"": [145.1630590000001, -37.87978499999997], ""type"": ""Point""}",No,No,Dot Matrix,Glen Waverley
"-37.704638999999986, 144.91724599999998","{""coordinates"": [144.91724599999998, -37.704638999999986], ""type"": ""Point""}",No,No,Dot Matrix,Glenroy
"-37.75714899999997, 145.060927","{""coordinates"": [145.060927, -37.75714899999997], ""type"": ""Point""}",No,No,Dot Matrix,Heidelberg
"-37.89487699999995, 145.0776400000001","{""coordinates"": [145.0776400000001, -37.89487699999995], ""type"": ""Point""}",No,No,No,Hughesdale
"-37.91099299999996, 145.102398","{""coordinates"": [145.102398, -37.91099299999996], ""type"": ""Point""}",No,No,Dot Matrix,Huntingdale
"-37.77484999999996, 144.958749","{""coordinates"": [144.958749, -37.77484999999996], ""type"": ""Point""}",No,No,No,Jewell
"-37.81649999999996, 144.983878","{""coordinates"": [144.983878, -37.81649999999996], ""type"": ""Point""}",No,No,Dot Matrix,Jolimont
"-38.121421, 145.13550400000008","{""coordinates"": [145.13550400000008, -38.121421], ""type"": ""Point""}",No,No,Dot Matrix,Kananook
"-37.82091499999996, 145.14050200000008","{""coordinates"": [145.14050200000008, -37.82091499999996], ""type"": ""Point""}",No,No,No,Laburnum
"-37.86369399999995, 144.7726150000001","{""coordinates"": [144.7726150000001, -37.86369399999995], ""type"": ""Point""}",No,Yes,Dot Matrix,Laverton
"-37.755019000000004, 145.34823100000006","{""coordinates"": [145.34823100000006, -37.755019000000004], ""type"": ""Point""}",No,No,Dot Matrix,Lilydale
"-37.98197499999998, 145.06524000000002","{""coordinates"": [145.06524000000002, -37.98197499999998], ""type"": ""Point""}",No,No,Dot Matrix,Mentone
"-37.72093699999999, 144.96131200000002","{""coordinates"": [144.96131200000002, -37.72093699999999], ""type"": ""Point""}",No,No,No,Merlynston
"-37.802505999999994, 144.8913100000001","{""coordinates"": [144.8913100000001, -37.802505999999994], ""type"": ""Point""}",No,No,No,Middle Footscray
"-37.819541999999956, 145.10556000000008","{""coordinates"": [145.10556000000008, -37.819541999999956], ""type"": ""Point""}",No,No,No,Mont Albert
"-37.76581299999998, 144.91920200000004","{""coordinates"": [144.91920200000004, -37.76581299999998], ""type"": ""Point""}",No,No,Dot Matrix,Moonee Ponds
"-38.006508, 145.08755400000007","{""coordinates"": [145.08755400000007, -38.006508], ""type"": ""Point""}",No,No,Dot Matrix,Mordialloc
"-38.353931999999986, 145.18949900000007","{""coordinates"": [145.18949900000007, -38.353931999999986], ""type"": ""Point""}",No,No,No,Morradoo
"-37.87527399999999, 145.12841300000002","{""coordinates"": [145.12841300000002, -37.87527399999999], ""type"": ""Point""}",No,No,No,Mount Waverley
"-37.96723599999996, 145.17693600000007","{""coordinates"": [145.17693600000007, -37.96723599999996], ""type"": ""Point""}",No,No,Dot Matrix,Noble Park
"-37.76986499999998, 144.9952820000001","{""coordinates"": [144.9952820000001, -37.76986499999998], ""type"": ""Point""}",No,No,Dot Matrix,Northcote
"-37.903606999999965, 145.039531","{""coordinates"": [145.039531, -37.903606999999965], ""type"": ""Point""}",Yes,Yes,LCD,Ormond
"-38.080547999999965, 145.48651100000006","{""coordinates"": [145.48651100000006, -38.080547999999965], ""type"": ""Point""}",No,No,Dot Matrix,Pakenham
"-37.99306999999999, 145.07629600000007","{""coordinates"": [145.07629600000007, -37.99306999999999], ""type"": ""Point""}",No,No,Dot Matrix,Parkdale
"-37.849762999999996, 144.98981700000002","{""coordinates"": [144.98981700000002, -37.849762999999996], ""type"": ""Point""}",No,No,Dot Matrix,Prahran
"-37.71701399999995, 145.00691900000004","{""coordinates"": [145.00691900000004, -37.71701399999995], ""type"": ""Point""}",No,No,Dot Matrix,Reservoir
"-37.78318299999995, 144.99241300000006","{""coordinates"": [144.99241300000006, -37.78318299999995], ""type"": ""Point""}",No,No,No,Rushall
"-37.70828899999998, 145.00935800000002","{""coordinates"": [145.00935800000002, -37.70828899999998], ""type"": ""Point""}",No,No,No,Ruthven
"-37.86784299999999, 144.840958","{""coordinates"": [144.840958, -37.86784299999999], ""type"": ""Point""}",No,No,LCD,Seaholme
"-37.80859299999997, 144.89604300000008","{""coordinates"": [144.89604300000008, -37.80859299999997], ""type"": ""Point""}",No,No,Dot Matrix,Seddon
"-38.225495999999964, 145.17635300000006","{""coordinates"": [145.17635300000006, -38.225495999999964], ""type"": ""Point""}",No,No,No,Somerville
"-37.83065099999999, 144.885942","{""coordinates"": [144.885942, -37.83065099999999], ""type"": ""Point""}",No,No,No,Spotswood
"-37.94937999999996, 145.153507","{""coordinates"": [145.153507, -37.94937999999996], ""type"": ""Point""}",Yes,Yes,Dot Matrix,Springvale
"-37.743592999999976, 144.92732","{""coordinates"": [144.92732, -37.743592999999976], ""type"": ""Point""}",No,No,No,Strathmore
"-37.78785099999999, 144.83232400000009","{""coordinates"": [144.83232400000009, -37.78785099999999], ""type"": ""Point""}",Yes,Yes,Dot Matrix,Sunshine
