Geo Point,Geo Shape,he_loop,lift,pids,station
"-37.844667999999956, 145.00209500000005","{""coordinates"": [145.00209500000005, -37.844667999999956], ""type"": ""Point""}",No,No,Dot Matrix,Hawksburn
"-37.821838999999954, 145.02308800000003","{""coordinates"": [145.02308800000003, -37.821838999999954], ""type"": ""Point""}",No,No,Dot Matrix,Hawthorn
"-37.76892699999996, 145.045391","{""coordinates"": [145.045391, -37.76892699999996], ""type"": ""Point""}",No,No,Dot Matrix,Ivanhoe
"-37.695133, 144.91585600000008","{""coordinates"": [144.91585600000008, -37.695133], ""type"": ""Point""}",No,No,No,Jacana
"-37.873598999999956, 145.11208900000008","{""coordinates"": [145.11208900000008, -37.873598999999956], ""type"": ""Point""}",No,No,No,Jordanville
"-37.79348599999997, 144.93046700000002","{""coordinates"": [144.93046700000002, -37.79348599999997], ""type"": ""Point""}",No,No,No,Kensington
"-37.694511999999975, 145.011937","{""coordinates"": [145.011937, -37.694511999999975], ""type"": ""Point""}",No,No,Dot Matrix,Keon Park
"-37.79457599999995, 144.93611299999998","{""coordinates"": [144.93611299999998, -37.79457599999995], ""type"": ""Point""}",No,No,No,Macaulay
"-37.726291, 145.06910700000003","{""coordinates"": [145.06910700000003, -37.726291], ""type"": ""Point""}",No,No,Dot Matrix,Macleod
"-37.86624999999998, 145.02929400000005","{""coordinates"": [145.02929400000005, -37.86624999999998], ""type"": ""Point""}",No,No,Dot Matrix,Malvern
"-37.91071299999999, 145.03822300000002","{""coordinates"": [145.03822300000002, -37.91071299999999], ""type"": ""Point""}",Yes,Yes,LCD,Mckinnon
"-38.02764099999996, 145.30360600000006","{""coordinates"": [145.30360600000006, -38.02764099999996], ""type"": ""Point""}",No,No,No,Narre Warren
"-37.78690499999999, 144.92888600000003","{""coordinates"": [144.92888600000003, -37.78690499999999], ""type"": ""Point""}",No,No,No,Newmarket
"-37.84271899999999, 144.883604","{""coordinates"": [144.883604, -37.84271899999999], ""type"": ""Point""}",No,No,LCD,Newport
"-37.90491599999996, 145.00259500000004","{""coordinates"": [145.00259500000004, -37.90491599999996], ""type"": ""Point""}",No,No,No,North Brighton
"-37.806735, 144.94183099999998","{""coordinates"": [144.94183099999998, -37.806735], ""type"": ""Point""}",No,Yes,LCD,North Melbourne
"-37.81007599999998, 144.99255600000004","{""coordinates"": [144.99255600000004, -37.81007599999998], ""type"": ""Point""}",No,No,Dot Matrix,North Richmond
"-37.718046999999956, 144.92153500000006","{""coordinates"": [144.92153500000006, -37.718046999999956], ""type"": ""Point""}",No,No,No,Oak Park
"-37.73873599999996, 145.00051600000006","{""coordinates"": [145.00051600000006, -37.73873599999996], ""type"": ""Point""}",No,No,Dot Matrix,Preston
"-37.729602, 144.79381","{""coordinates"": [144.79381, -37.729602], ""type"": ""Point""}",No,No,Dot Matrix,Keilor Plains
"-37.82396299999999, 144.98957400000006","{""coordinates"": [144.98957400000006, -37.82396299999999], ""type"": ""Point""}",No,No,LCD,Richmond
"-37.81199499999997, 145.24969","{""coordinates"": [145.24969, -37.81199499999997], ""type"": ""Point""}",No,No,No,Ringwood East
"-37.875923, 144.995226","{""coordinates"": [144.995226, -37.875923], ""type"": ""Point""}",No,No,Dot Matrix,Ripponlea
