property_id,block_id,seating_type,clue_small_area,trading_name,x_coordinate,y_coordinate,industry_anzsic4_description
105913,38,Seats - Indoor,Melbourne (CBD),Crema Espresso Bar,144.9716953,-37.81309819,Cafes and Restaurants
105930,34,Seats - Indoor,Melbourne (CBD),Nori Nori,144.9624392,-37.81585501,Cafes and Restaurants
578319,6,Seats - Outdoor,Melbourne (CBD),Chocolate Buddha,144.9699175,-37.81784465,Cafes and Restaurants
110708,72,Seats - Indoor,Melbourne (CBD),Gami At Healeys - Chicken & Beer,144.9560169,-37.8134766,Cafes and Restaurants
529298,56,Seats - Indoor,Melbourne (CBD),Crazy Wing,144.9675488,-37.81229698,Cafes and Restaurants
102503,861,Seats - Indoor,South Yarra,Cafe Domain,144.9816996,-37.83431735,Cafes and Restaurants
559024,246,Seats - Indoor,Carlton,NL House,144.9656841,-37.80080712,Takeaway Food Services
108989,68,Seats - Outdoor,Melbourne (CBD),Hudson's Coffee,144.9720594,-37.81012699,Cafes and Restaurants
111394,46,Seats - Indoor,Melbourne (CBD),Bar Ampere,144.9674275,-37.81355434,"Pubs, Taverns and Bars"
102091,24,Seats - Indoor,Melbourne (CBD),Huxtaburger,144.9627888,-37.81722704,Takeaway Food Services
579362,773,Seats - Outdoor,Docklands,Al-Khaleej Restaurant,144.9435506,-37.82438863,Cafes and Restaurants
109837,361,Seats - Indoor,North Melbourne,Donwoori,144.9573902,-37.80580455,Cafes and Restaurants
520597,66,Seats - Indoor,Melbourne (CBD),Yang's Braised Chicken Rice,144.9658727,-37.81222127,Cafes and Restaurants
110413,812,Seats - Outdoor,Southbank,5 Solars Restaurant,144.9666055,-37.82241845,Cafes and Restaurants
105956,44,Seats - Outdoor,Melbourne (CBD),STREAT,144.9617411,-37.81560573,Cafes and Restaurants
108048,808,Seats - Outdoor,Southbank,Sheila Baxter Training Centre Pty Ltd ,144.9609065,-37.82435995,Technical and Vocational Education and Training
105889,66,Seats - Indoor,Melbourne (CBD),Petaling Street Malaysian Hawker Food,144.966942,-37.81186912,Cafes and Restaurants
110095,42,Seats - Outdoor,Melbourne (CBD),Simply Spanish,144.9578132,-37.81636534,Cafes and Restaurants
109292,65,Seats - Outdoor,Melbourne (CBD),Rice Paper Vietnamese Restaurant,144.9647365,-37.81230108,Cafes and Restaurants
103183,54,Seats - Indoor,Melbourne (CBD),Schnitz,144.9626049,-37.81366344,Cafes and Restaurants
109720,423,Seats - Outdoor,West Melbourne (Residential),Amiconi,144.9495766,-37.80538455,Cafes and Restaurants
101172,52,Seats - Outdoor,Melbourne (CBD),"The Attic, Artisan Bread And Cafe",144.9561073,-37.81571393,Cafes and Restaurants
103225,104,Seats - Indoor,Melbourne (CBD),Thai Culinary,144.9603439,-37.80885861,Cafes and Restaurants
103610,87,Seats - Indoor,Melbourne (CBD),Sally's Kitchen,144.9688284,-37.80893166,Cafes and Restaurants
108458,915,Seats - Indoor,Parkville,Cafe Royale,144.9575513,-37.79539648,Cafes and Restaurants
599505,1103,Seats - Outdoor,Docklands,Nando's,144.947217,-37.81817241,Cafes and Restaurants
106322,524,Seats - Outdoor,Kensington,Joseph Swan Deli,144.9293517,-37.79452502,Other Specialised Food Retailing
101126,47,Seats - Indoor,Melbourne (CBD),Edoya Japanese Restaurant,144.9684168,-37.81298798,Cafes and Restaurants
111394,46,Seats - Outdoor,Melbourne (CBD),Neapoli Wine Bar,144.9674275,-37.81355434,Cafes and Restaurants
110413,812,Seats - Outdoor,Southbank,Broad Bean Organic Grocer,144.9666055,-37.82241845,Fruit and Vegetable Retailing
106110,246,Seats - Indoor,Carlton,Borsari Ristorante,144.9666725,-37.80089707,Cafes and Restaurants
100731,33,Seats - Outdoor,Melbourne (CBD),Treviso,144.9606423,-37.81669009,Cafes and Restaurants
104437,920,Seats - Indoor,Parkville,Hudsons Coffee Melbourne Private,144.9559628,-37.79854141,Cafes and Restaurants
105942,31,Seats - Outdoor,Melbourne (CBD),Pho n Roll,144.955444,-37.81787118,Takeaway Food Services
560004,1109,Seats - Indoor,Docklands,Vacant,144.942139,-37.81434525,Vacant Space
102788,340,Seats - Outdoor,North Melbourne,North Melbourne Takeaway & Snack Bar,144.9429106,-37.80428921,Takeaway Food Services
105370,82,Seats - Outdoor,Melbourne (CBD),Cafe Sonex ,144.9542745,-37.81261513,Cafes and Restaurants
109719,423,Seats - Outdoor,West Melbourne (Residential),Smile Thai Restaurant,144.949623,-37.80538734,Cafes and Restaurants
109952,66,Seats - Indoor,Melbourne (CBD),Manchuria,144.9669911,-37.81162502,Cafes and Restaurants
105752,77,Seats - Indoor,Melbourne (CBD),The J Walk Cafe,144.967574,-37.81012652,Cafes and Restaurants
603923,78,Seats - Outdoor,Melbourne (CBD),Babbo,144.9707325,-37.8091842,Cafes and Restaurants
105846,54,Seats - Indoor,Melbourne (CBD),Grill'd Healthy Burgers,144.9617817,-37.81367176,Cafes and Restaurants
589841,76,Seats - Outdoor,Melbourne (CBD),Grill'd (QV),144.9657034,-37.810658,Cafes and Restaurants
102070,27,Seats - Indoor,Melbourne (CBD),Brooks of Melbourne,144.9700073,-37.81473508,Cafes and Restaurants
102063,28,Seats - Indoor,Melbourne (CBD),Burger Edge Collins Place,144.9726281,-37.81430616,Cafes and Restaurants
105460,82,Seats - Indoor,Melbourne (CBD),Cafe Saporo,144.9549514,-37.81275166,Cafes and Restaurants
632898,1103,Seats - Outdoor,Docklands,Hawkers Corner,144.9490176,-37.81792089,Cafes and Restaurants
105636,355,Seats - Outdoor,North Melbourne,The Leveson,144.9514591,-37.80370014,"Pubs, Taverns and Bars"
102686,217,Seats - Outdoor,Carlton,Masani's Italian Dinning & Terrace ,144.968492,-37.79837995,Cafes and Restaurants
603923,78,Seats - Outdoor,Melbourne (CBD),Zoom Organic ,144.9707325,-37.8091842,Takeaway Food Services
102078,26,Seats - Outdoor,Melbourne (CBD),Box On Collins Restaurant,144.9677066,-37.81546677,Cafes and Restaurants
559161,801,Seats - Outdoor,Southbank,Belgian Beer Cafe Melbourne,144.9645668,-37.82166549,"Pubs, Taverns and Bars"
104477,218,Seats - Outdoor,Carlton,Il Vicolo,144.96788,-37.80059699,Cafes and Restaurants
628714,1105,Seats - Indoor,Docklands,Mr Collins,144.9494345,-37.82089145,Cafes and Restaurants
104008,14,Seats - Indoor,Melbourne (CBD),Joyci Sushi,144.9643537,-37.81807489,Takeaway Food Services
110679,113,Seats - Indoor,Melbourne (CBD),Romeo Takeaway Cafe,144.9572395,-37.80745984,Takeaway Food Services
577356,1108,Seats - Indoor,Docklands,Snack A Rama,144.9405366,-37.82003433,Cafes and Restaurants
109415,46,Seats - Indoor,Melbourne (CBD),L'Incontro,144.9662921,-37.81430553,Cafes and Restaurants
604118,1108,Seats - Outdoor,Docklands,Subway Vic Harbour,144.9431188,-37.81977079,Takeaway Food Services
573414,1108,Seats - Outdoor,Docklands,Rhumba's At Nab,144.9451224,-37.81888389,Cafes and Restaurants
110988,804,Seats - Indoor,Southbank,Munich Brau Haus,144.9503336,-37.82409303,"Pubs, Taverns and Bars"
599505,1103,Seats - Indoor,Docklands,Kagawa Japanese Cafe,144.947217,-37.81817241,Cafes and Restaurants
620314,1110,Seats - Indoor,Docklands,The Coffee Club Waterfront City,144.9378299,-37.81315031,Cafes and Restaurants
534005,266,Seats - Outdoor,Carlton,Carlton Megabytes,144.9655262,-37.80671734,Cafes and Restaurants
102124,33,Seats - Indoor,Melbourne (CBD),The Mug House,144.9597623,-37.81703239,Cafes and Restaurants
616892,2385,Seats - Outdoor,North Melbourne,64 Sutton,144.937872,-37.7916558,Cafes and Restaurants
