,property_id,block_id,seating_type,clue_small_area,trading_name,x_coordinate,y_coordinate,industry_anzsic4_description
72,110095,42,Outdoor,Melbourne (CBD),Simply Spanish,144.9578132,-37.81636534,Cafes and Restaurants
73,109292,65,Outdoor,Melbourne (CBD),Rice Paper Vietnamese Restaurant,144.9647365,-37.81230108,Cafes and Restaurants
74,103183,54,Indoor,Melbourne (CBD),Schnitz,144.9626049,-37.81366344,Cafes and Restaurants
75,109720,423,Outdoor,West Melbourne (Residential),Amiconi,144.9495766,-37.80538455,Cafes and Restaurants
76,101172,52,Outdoor,Melbourne (CBD),"The Attic, Artisan Bread And Cafe",144.9561073,-37.81571393,Cafes and Restaurants
77,103225,104,Indoor,Melbourne (CBD),Thai Culinary,144.9603439,-37.80885861,Cafes and Restaurants
78,103610,87,Indoor,Melbourne (CBD),Sally's Kitchen,144.9688284,-37.80893166,Cafes and Restaurants
79,108458,915,Indoor,Parkville,Cafe Royale,144.9575513,-37.79539648,Cafes and Restaurants
80,599505,1103,Outdoor,Docklands,Nando's,144.947217,-37.81817241,Cafes and Restaurants
82,101126,47,Indoor,Melbourne (CBD),Edoya Japanese Restaurant,144.9684168,-37.81298798,Cafes and Restaurants
83,111394,46,Outdoor,Melbourne (CBD),Neapoli Wine Bar,144.9674275,-37.81355434,Cafes and Restaurants
85,106110,246,Indoor,Carlton,Borsari Ristorante,144.9666725,-37.80089707,Cafes and Restaurants
86,100731,33,Outdoor,Melbourne (CBD),Treviso,144.9606423,-37.81669009,Cafes and Restaurants
87,104437,920,Indoor,Parkville,Hudsons Coffee Melbourne Private,144.9559628,-37.79854141,Cafes and Restaurants
91,105370,82,Outdoor,Melbourne (CBD),Cafe Sonex ,144.9542745,-37.81261513,Cafes and Restaurants
92,109719,423,Outdoor,West Melbourne (Residential),Smile Thai Restaurant,144.949623,-37.80538734,Cafes and Restaurants
93,109952,66,Indoor,Melbourne (CBD),Manchuria,144.9669911,-37.81162502,Cafes and Restaurants
94,105752,77,Indoor,Melbourne (CBD),The J Walk Cafe,144.967574,-37.81012652,Cafes and Restaurants
95,603923,78,Outdoor,Melbourne (CBD),Babbo,144.9707325,-37.8091842,Cafes and Restaurants
96,105846,54,Indoor,Melbourne (CBD),Grill'd Healthy Burgers,144.9617817,-37.81367176,Cafes and Restaurants
97,589841,76,Outdoor,Melbourne (CBD),Grill'd (QV),144.9657034,-37.810658,Cafes and Restaurants
98,102070,27,Indoor,Melbourne (CBD),Brooks of Melbourne,144.9700073,-37.81473508,Cafes and Restaurants
99,102063,28,Indoor,Melbourne (CBD),Burger Edge Collins Place,144.9726281,-37.81430616,Cafes and Restaurants
100,105460,82,Indoor,Melbourne (CBD),Cafe Saporo,144.9549514,-37.81275166,Cafes and Restaurants
101,632898,1103,Outdoor,Docklands,Hawkers Corner,144.9490176,-37.81792089,Cafes and Restaurants
103,102686,217,Outdoor,Carlton,Masani's Italian Dinning & Terrace ,144.968492,-37.79837995,Cafes and Restaurants
105,102078,26,Outdoor,Melbourne (CBD),Box On Collins Restaurant,144.9677066,-37.81546677,Cafes and Restaurants
107,104477,218,Outdoor,Carlton,Il Vicolo,144.96788,-37.80059699,Cafes and Restaurants
108,628714,1105,Indoor,Docklands,Mr Collins,144.9494345,-37.82089145,Cafes and Restaurants
111,577356,1108,Indoor,Docklands,Snack A Rama,144.9405366,-37.82003433,Cafes and Restaurants
112,109415,46,Indoor,Melbourne (CBD),L'Incontro,144.9662921,-37.81430553,Cafes and Restaurants
114,573414,1108,Outdoor,Docklands,Rhumba's At Nab,144.9451224,-37.81888389,Cafes and Restaurants
116,599505,1103,Indoor,Docklands,Kagawa Japanese Cafe,144.947217,-37.81817241,Cafes and Restaurants
117,620314,1110,Indoor,Docklands,The Coffee Club Waterfront City,144.9378299,-37.81315031,Cafes and Restaurants
118,534005,266,Outdoor,Carlton,Carlton Megabytes,144.9655262,-37.80671734,Cafes and Restaurants
119,102124,33,Indoor,Melbourne (CBD),The Mug House,144.9597623,-37.81703239,Cafes and Restaurants
120,616892,2385,Outdoor,North Melbourne,64 Sutton,144.937872,-37.7916558,Cafes and Restaurants
122,109329,243,Outdoor,Carlton,Cafe Fillings,144.9634142,-37.80087264,Cafes and Restaurants
123,611394,1,Indoor,Melbourne (CBD),Tokyo Maki One,144.9565185,-37.82099397,Cafes and Restaurants
125,108062,23,Indoor,Melbourne (CBD),Queen St Espresso ,144.9616143,-37.81773812,Cafes and Restaurants
126,105325,91,Indoor,West Melbourne (Residential),Ssarim's Cafe,144.9532514,-37.81166257,Cafes and Restaurants
127,101121,47,Outdoor,Melbourne (CBD),Gyoza Douraku,144.9689721,-37.81280567,Cafes and Restaurants
129,627740,270,Indoor,Parkville,Shanti Bhagwan Cafe,144.9612468,-37.79739836,Cafes and Restaurants
130,108532,16,Indoor,Melbourne (CBD),Ikkoryu Fukuoka Ramen,144.9692478,-37.81598754,Cafes and Restaurants
132,102061,28,Outdoor,Melbourne (CBD),Pei Modern,144.9726281,-37.81430616,Cafes and Restaurants
133,105302,51,Indoor,Melbourne (CBD),Woodo,144.9552051,-37.81596556,Cafes and Restaurants
134,101177,53,Indoor,Melbourne (CBD),Cafe Euro Food & Wine Bar,144.9591969,-37.81499761,Cafes and Restaurants
135,559161,801,Outdoor,Southbank,Gainsville Cafe,144.9645668,-37.82166549,Cafes and Restaurants
136,110858,88,Indoor,Melbourne (CBD),Lost Angel Bar & Restaurant ,144.9710147,-37.80814522,Cafes and Restaurants
137,108986,58,Indoor,Melbourne (CBD),The Melbourne Supper Club,144.9724291,-37.8109513,Cafes and Restaurants
138,103816,377,Outdoor,North Melbourne,New Lanna Thai ,144.9540004,-37.79936937,Cafes and Restaurants
139,599505,1103,Outdoor,Docklands,Origami Sushi & Noodles ,144.947217,-37.81817241,Cafes and Restaurants
140,620308,1110,Outdoor,Docklands,Sakura Sushi Bar,144.9378299,-37.81315031,Cafes and Restaurants
141,101232,58,Indoor,Melbourne (CBD),Takumi Japanese Restaurant,144.9719781,-37.81136083,Cafes and Restaurants
142,109798,354,Indoor,North Melbourne,The Sensible Sandwich Cafe,144.9505407,-37.80500905,Cafes and Restaurants
143,108104,54,Outdoor,Melbourne (CBD),Kenny's Bakery Cafe,144.9606804,-37.81402844,Cafes and Restaurants
144,102505,861,Outdoor,South Yarra,Domain Brasserie,144.9820364,-37.83431435,Cafes and Restaurants
145,105459,82,Indoor,Melbourne (CBD),Frescatis Fine Foods,144.9552995,-37.81251859,Cafes and Restaurants
148,558180,1103,Indoor,Docklands,The Medallion Club,144.9475776,-37.81656591,Cafes and Restaurants
149,559161,801,Indoor,Southbank,Gainsville Cafe,144.9645668,-37.82166549,Cafes and Restaurants
150,628714,1105,Outdoor,Docklands,Mr Collins,144.9494345,-37.82089145,Cafes and Restaurants
152,625840,47,Indoor,Melbourne (CBD),Healthy Habits Cafe,144.9701092,-37.81281453,Cafes and Restaurants
153,568077,258,Outdoor,Carlton,Porta Via,144.960034,-37.80240996,Cafes and Restaurants
154,108581,67,Indoor,Melbourne (CBD),Izakaya Chuji Japanese Restaurant,144.9676444,-37.81098272,Cafes and Restaurants
155,102714,216,Indoor,Carlton,Markov,144.9692712,-37.79771074,Cafes and Restaurants
156,602256,571,Outdoor,Kensington,Zigzag Salads & Burgers,144.9155212,-37.78257294,Cafes and Restaurants
157,106224,247,Outdoor,Carlton,Alpino Restaurant,144.9671843,-37.80103476,Cafes and Restaurants
159,105484,94,Outdoor,Melbourne (CBD),Klik Cafe ,144.9604349,-37.81010387,Cafes and Restaurants
161,105930,34,Outdoor,Melbourne (CBD),Nori Nori,144.9624392,-37.81585501,Cafes and Restaurants
162,594107,255,Indoor,Carlton,El Pronto,144.9636402,-37.80430744,Cafes and Restaurants
164,104445,248,Outdoor,Carlton,La Cacciatora Restaurant,144.9685975,-37.80116198,Cafes and Restaurants
166,105656,58,Indoor,Melbourne (CBD),Saigon Inn Vietnamese Restaurant,144.9713242,-37.81131159,Cafes and Restaurants
167,531599,660,Indoor,Melbourne (Remainder),The Westpac Centre Cafe,144.9823854,-37.82487806,Cafes and Restaurants
168,105654,243,Outdoor,Carlton,Bouverie Deli,144.9627288,-37.8013409,Cafes and Restaurants
169,105712,62,Indoor,Melbourne (CBD),Cafe Dominoes,144.9566434,-37.81427826,Cafes and Restaurants
174,659717,66,Indoor,Melbourne (CBD),Shujinko,144.9671363,-37.81134266,Cafes and Restaurants
176,105388,52,Outdoor,Melbourne (CBD),Kedai Satay,144.9556966,-37.8156735,Cafes and Restaurants
177,101788,25,Indoor,Melbourne (CBD),Eliana Lulu,144.9654744,-37.81664468,Cafes and Restaurants
178,102091,24,Outdoor,Melbourne (CBD),O-Bento,144.9627888,-37.81722704,Cafes and Restaurants
179,103107,217,Indoor,Carlton,Ultimate Coffee Bar,144.9682099,-37.79746832,Cafes and Restaurants
180,106291,652,Outdoor,East Melbourne,Treasury Eats Cafe ,144.9755868,-37.81264492,Cafes and Restaurants
182,103613,87,Outdoor,Melbourne (CBD),65 Degrees ,144.9687244,-37.80874125,Cafes and Restaurants
184,105726,72,Outdoor,Melbourne (CBD),Suda,144.9560169,-37.8134766,Cafes and Restaurants
185,105679,67,Indoor,Melbourne (CBD),1st Choice Restaurant ,144.96853,-37.81098009,Cafes and Restaurants
186,105928,35,Indoor,Melbourne (CBD),Caffe E Biscotti,144.9642254,-37.81528948,Cafes and Restaurants
187,103620,68,Indoor,Melbourne (CBD),China Bar Asian Seafood Buffet,144.9704962,-37.81055707,Cafes and Restaurants
188,105456,83,Indoor,Melbourne (CBD),Melbourne Mahn Doo,144.9586601,-37.81145082,Cafes and Restaurants
190,110708,72,Indoor,Melbourne (CBD),68 degree Coffee & Food,144.9560169,-37.8134766,Cafes and Restaurants
191,110335,801,Indoor,Southbank,Breslin Bar And Grill,144.9628914,-37.8210403,Cafes and Restaurants
193,111297,742,Outdoor,Southbank,8 On Miles,144.9679695,-37.82843322,Cafes and Restaurants
197,618854,1110,Outdoor,Docklands,Cafe Bourgeois,144.9411967,-37.81308483,Cafes and Restaurants
198,105928,35,Indoor,Melbourne (CBD),Brown Sugar Cafe,144.9642254,-37.81528948,Cafes and Restaurants
199,110140,93,Indoor,Melbourne (CBD),Brother Thomas Coffee,144.9565783,-37.81124428,Cafes and Restaurants
200,109655,621,Indoor,East Melbourne,Solah,144.9799791,-37.80919457,Cafes and Restaurants
201,105738,74,Indoor,Melbourne (CBD),Hash Specialty Coffee And Roasters,144.9605306,-37.81240787,Cafes and Restaurants
203,102089,24,Indoor,Melbourne (CBD),Strozzi Restaurant,144.9632538,-37.81706705,Cafes and Restaurants
205,108620,710,Outdoor,Melbourne (Remainder),I Sushi ,144.9757194,-37.83548357,Cafes and Restaurants
206,111297,742,Indoor,Southbank,8 On Miles,144.9679695,-37.82843322,Cafes and Restaurants
207,620308,1110,Indoor,Docklands,Degani Bakery Cafe,144.9378299,-37.81315031,Cafes and Restaurants
209,104654,54,Indoor,Melbourne (CBD),Big Boy BBQ,144.9612664,-37.81398752,Cafes and Restaurants
210,110988,804,Outdoor,Southbank,BangPop,144.9503336,-37.82409303,Cafes and Restaurants
211,105949,42,Indoor,Melbourne (CBD),Five Points,144.956774,-37.81695942,Cafes and Restaurants
212,109388,86,Outdoor,Melbourne (CBD),The Moat Bar & Cafe,144.965306,-37.80976881,Cafes and Restaurants
214,105860,62,Outdoor,Melbourne (CBD),Melbourne Hwaro Korean BBQ Restaurant,144.9556694,-37.81501703,Cafes and Restaurants
215,106129,206,Outdoor,Carlton,La Parisienne Pates,144.9668266,-37.79954259,Cafes and Restaurants
216,511518,114,Indoor,Melbourne (CBD),CY Sushi & Noodle,144.9599508,-37.80794087,Cafes and Restaurants
217,106772,913,Indoor,Parkville,Parkville Store,144.9556719,-37.79525038,Cafes and Restaurants
218,578323,6,Indoor,Melbourne (CBD),Time Out Cafe,144.9699175,-37.81784465,Cafes and Restaurants
220,109358,203,Indoor,Carlton,Bento King,144.9648999,-37.79668021,Cafes and Restaurants
221,107003,17,Outdoor,Melbourne (CBD),Bowery to Williamsburg,144.9702912,-37.8161284,Cafes and Restaurants
222,516122,84,Indoor,Melbourne (CBD),Cat Cafe Melbourne,144.9598681,-37.81123352,Cafes and Restaurants
223,108076,63,Indoor,Melbourne (CBD),The Deli Counter,144.9599073,-37.81386746,Cafes and Restaurants
224,102111,31,Indoor,Melbourne (CBD),Dumpling World ,144.9545688,-37.81861166,Cafes and Restaurants
225,103943,15,Indoor,Melbourne (CBD),RMB Cafe,144.9654844,-37.81710105,Cafes and Restaurants
226,623559,804,Outdoor,Southbank,Caffe Cino,144.9523782,-37.82539976,Cafes and Restaurants
227,105491,97,Indoor,Melbourne (CBD),Shanghai Street,144.9669433,-37.80829662,Cafes and Restaurants
228,566659,51,Outdoor,Melbourne (CBD),Hirize Bakery Cafe,144.9532987,-37.81625435,Cafes and Restaurants
230,102714,216,Outdoor,Carlton,Markov,144.9692712,-37.79771074,Cafes and Restaurants
231,602858,1107,Outdoor,Docklands,Cafe La Kiss,144.9484725,-37.82183078,Cafes and Restaurants
232,106143,207,Outdoor,Carlton,Tiamo Coffee,144.9670898,-37.79822136,Cafes and Restaurants
234,110146,43,Outdoor,Melbourne (CBD),Cocoa Bean Cafe,144.9589392,-37.81595642,Cafes and Restaurants
238,104466,240,Outdoor,Carlton,Baretto Cafe,144.9592807,-37.80023307,Cafes and Restaurants
239,105746,85,Indoor,Melbourne (CBD),Caffe Torre,144.9630189,-37.81073331,Cafes and Restaurants
240,560001,1109,Outdoor,Docklands,Oscar's Table,144.9412614,-37.81460533,Cafes and Restaurants
241,110542,804,Indoor,Southbank,Dumpling Dynasty,144.9523782,-37.82539976,Cafes and Restaurants
242,106212,218,Outdoor,Carlton,Dimattina's Restaurant Bar,144.9674164,-37.79978612,Cafes and Restaurants
243,101200,56,Indoor,Melbourne (CBD),Ramen Bankara,144.9662952,-37.81272047,Cafes and Restaurants
244,598658,1104,Indoor,Docklands,Pizza Hut,144.9479753,-37.81925128,Cafes and Restaurants
245,110736,752,Indoor,Southbank,Peter Rowland Catering At NGV International,144.9686338,-37.82281707,Cafes and Restaurants
246,101176,53,Indoor,Melbourne (CBD),Ikyu Sushi,144.9587607,-37.81494883,Cafes and Restaurants
247,110612,741,Indoor,Southbank,Malthouse Kitchen,144.9669591,-37.8271278,Cafes and Restaurants
248,104002,13,Indoor,Melbourne (CBD),Iseya Icecream Bar and Cafe,144.9615299,-37.81884626,Cafes and Restaurants
250,103816,377,Indoor,North Melbourne,Mum Mum Asian Street Food,144.9540004,-37.79936937,Cafes and Restaurants
251,101215,57,Indoor,Melbourne (CBD),Ajisen Ramen,144.9691823,-37.81223835,Cafes and Restaurants
252,108973,1101,Indoor,Docklands,Gaslight Project,144.9523393,-37.81815358,Cafes and Restaurants
253,105949,42,Indoor,Melbourne (CBD),Piccolocino,144.956774,-37.81695942,Cafes and Restaurants
255,560001,1109,Indoor,Docklands,Bhoj On Docklands ,144.9412614,-37.81460533,Cafes and Restaurants
257,106031,82,Indoor,Melbourne (CBD),Giannis Luncheon ,144.955573,-37.81290439,Cafes and Restaurants
258,102124,33,Outdoor,Melbourne (CBD),Sunny Boy Cafe,144.9597623,-37.81703239,Cafes and Restaurants
263,105746,85,Indoor,Melbourne (CBD),Equinox Bar Restaurant,144.9630189,-37.81073331,Cafes and Restaurants
264,110639,788,Outdoor,Port Melbourne,KFC,144.918605,-37.8310487,Cafes and Restaurants
265,110988,804,Indoor,Southbank,Akachochin,144.9503336,-37.82409303,Cafes and Restaurants
266,576024,1104,Outdoor,Docklands,Dome Bakery Cafe,144.9479753,-37.81925128,Cafes and Restaurants
269,573414,1108,Outdoor,Docklands,Black Cod,144.9451224,-37.81888389,Cafes and Restaurants
270,108068,43,Indoor,Melbourne (CBD),Gifts @ CQ,144.9606367,-37.81581152,Cafes and Restaurants
272,101193,55,Outdoor,Melbourne (CBD),Mama's Buoi,144.9632879,-37.81360425,Cafes and Restaurants
273,620791,270,Indoor,Parkville,The Potter Espresso Bar,144.9612468,-37.79739836,Cafes and Restaurants
274,104014,15,Outdoor,Melbourne (CBD),Jolly J's,144.9665517,-37.81724878,Cafes and Restaurants
276,109667,645,Indoor,East Melbourne,Zouki Cafe Eye & Ear Hospital,144.9762558,-37.80899054,Cafes and Restaurants
277,102089,24,Indoor,Melbourne (CBD),Blu Nite,144.9632538,-37.81706705,Cafes and Restaurants
278,611367,1108,Outdoor,Docklands,Koji Sushi,144.9457644,-37.82205739,Cafes and Restaurants
279,103694,206,Outdoor,Carlton,New York Minute,144.9662956,-37.7988135,Cafes and Restaurants
280,102111,31,Outdoor,Melbourne (CBD),J T's Fine Catering,144.9545688,-37.81861166,Cafes and Restaurants
282,103920,17,Outdoor,Melbourne (CBD),Terra Rossa,144.9713925,-37.81542975,Cafes and Restaurants
283,589575,1103,Indoor,Docklands,Broadcast Cafe,144.9458827,-37.81566514,Cafes and Restaurants
285,107548,239,Indoor,Carlton,Books N Bites Cafe,144.9583287,-37.80169537,Cafes and Restaurants
286,578322,6,Indoor,Melbourne (CBD),Cafe Chinotto,144.9699175,-37.81784465,Cafes and Restaurants
287,103615,97,Outdoor,Melbourne (CBD),The Terrace Restaurant Bar & Grill ,144.9680267,-37.8078604,Cafes and Restaurants
288,104008,14,Indoor,Melbourne (CBD),Kimchi Tray,144.9643537,-37.81807489,Cafes and Restaurants
289,109821,357,Indoor,North Melbourne,Pho Victoria,144.9539606,-37.80542264,Cafes and Restaurants
290,573289,205,Outdoor,Carlton,Toothpicks Cafe,144.9648536,-37.79944075,Cafes and Restaurants
291,110708,72,Outdoor,Melbourne (CBD),Gami At Healeys - Chicken & Beer,144.9560169,-37.8134766,Cafes and Restaurants
292,103919,18,Indoor,Melbourne (CBD),Cocoa Espresso,144.9722399,-37.81514512,Cafes and Restaurants
293,107427,931,Outdoor,Parkville,State Netball & Hockey Centre Cafe,144.947632,-37.78541878,Cafes and Restaurants
294,110968,84,Indoor,Melbourne (CBD),Paperboy Kitchen,144.9602803,-37.81158232,Cafes and Restaurants
295,110542,804,Indoor,Southbank,Bohemian Bar & Restaurant,144.9523782,-37.82539976,Cafes and Restaurants
296,106212,218,Indoor,Carlton,Dimattina's Restaurant Bar,144.9674164,-37.79978612,Cafes and Restaurants
299,664626,270,Outdoor,Parkville,HJC Bar,144.9612468,-37.79739836,Cafes and Restaurants
300,105678,67,Outdoor,Melbourne (CBD),Cafe Caledonia,144.9686769,-37.81072687,Cafes and Restaurants
301,100153,95,Outdoor,Melbourne (CBD),Darac Grill & Bar,144.9620743,-37.8090975,Cafes and Restaurants
302,107003,17,Indoor,Melbourne (CBD),Bowery to Williamsburg,144.9702912,-37.8161284,Cafes and Restaurants
303,565541,651,Indoor,East Melbourne,Macchiato,144.9773405,-37.81154319,Cafes and Restaurants
305,103234,114,Indoor,Melbourne (CBD),Jasper Kitchen ,144.9596331,-37.80750344,Cafes and Restaurants
307,103955,12,Outdoor,Melbourne (CBD),Four 8 Five Cafe Bar & Dining,144.9581001,-37.81936891,Cafes and Restaurants
309,104377,64,Indoor,Melbourne (CBD),Rare Steakhouse Midtown,144.9607769,-37.81338564,Cafes and Restaurants
311,111060,252,Outdoor,Carlton,Thai City Restaurant,144.9666993,-37.80443778,Cafes and Restaurants
312,108985,58,Indoor,Melbourne (CBD),City Wine Shop ,144.9724651,-37.81099169,Cafes and Restaurants
313,110679,113,Indoor,Melbourne (CBD),Tribel Cafe,144.9572395,-37.80745984,Cafes and Restaurants
314,103908,931,Indoor,Parkville,Aruba Espresso Cafe,144.9501914,-37.79382016,Cafes and Restaurants
315,103999,12,Outdoor,Melbourne (CBD),Williams Bar Cafe,144.9595106,-37.81943285,Cafes and Restaurants
316,578322,6,Outdoor,Melbourne (CBD),Bokchoy Tang,144.9699175,-37.81784465,Cafes and Restaurants
317,101224,58,Outdoor,Melbourne (CBD),Grossi Florentino,144.9708473,-37.81172969,Cafes and Restaurants
318,105654,243,Indoor,Carlton,Bouverie Deli,144.9627288,-37.8013409,Cafes and Restaurants
319,106206,218,Outdoor,Carlton,DOC Espresso,144.9674735,-37.79932164,Cafes and Restaurants
320,109418,26,Indoor,Melbourne (CBD),La Vita Buona 'The Good Life' Cellar Bar Deli,144.9674304,-37.81584777,Cafes and Restaurants
321,105827,58,Indoor,Melbourne (CBD),Mezzo ,144.97183,-37.8109435,Cafes and Restaurants
323,102197,47,Indoor,Melbourne (CBD),Oli Levi,144.9692543,-37.81302823,Cafes and Restaurants
324,623559,804,Outdoor,Southbank,Citizen Cafe,144.9523782,-37.82539976,Cafes and Restaurants
325,110011,607,Indoor,East Melbourne,Memoria Cafe,144.98763,-37.81638646,Cafes and Restaurants
326,102086,25,Outdoor,Melbourne (CBD),Lindt Chocolat Cafe,144.9649331,-37.81662781,Cafes and Restaurants
327,103703,217,Indoor,Carlton,Crinitis Southern Italian Cuisine,144.9678378,-37.79850638,Cafes and Restaurants
328,108646,724,Indoor,Melbourne (Remainder),Cafe La Colline ,144.9798191,-37.8455379,Cafes and Restaurants
330,101660,208,Indoor,Carlton,Le Miel Et Le Lune,144.9663778,-37.79685803,Cafes and Restaurants
331,101142,45,Outdoor,Melbourne (CBD),Grasshoppers Feast,144.9645323,-37.81445406,Cafes and Restaurants
332,102109,31,Indoor,Melbourne (CBD),Choix Creperie Cafe,144.9543505,-37.81867544,Cafes and Restaurants
333,101210,57,Outdoor,Melbourne (CBD),Funky Curry,144.968386,-37.81247257,Cafes and Restaurants
335,107430,651,Indoor,East Melbourne,The Commune ,144.9757456,-37.81162322,Cafes and Restaurants
336,110988,804,Outdoor,Southbank,Akachochin,144.9503336,-37.82409303,Cafes and Restaurants
338,109682,435,Outdoor,West Melbourne (Residential),Nando's,144.9556037,-37.80606639,Cafes and Restaurants
339,560266,773,Indoor,Docklands,Loading Dock,144.946356,-37.82488026,Cafes and Restaurants
